Date	Timeslot	Action
4/12	Daytime	Chariot Rank 1
4/12	Evening	Fool Rank 1
4/15	Daytime	Lovers Rank 1
4/15	Evening	Magician Rank 1
5/05	Evening	Fool Rank 3
5/06	Class	Moon Rank 1
5/08	Daytime	Moon Rank 2
5/13	Class	Councillor Rank 1
5/13	Class	Councillor Rank 2
5/20	Class	Hallway > Exam Results
5/30	Daytime	Faith Rank 1
6/10	Daytime	Justice Rank 1
6/11	Evening	Fool Rank 5
6/20	Evening	Magician Rank 4
7/09	Daytime	Judgement Rank 1
7/19	Class	Hallway > Exam Results
7/24	Daytime	Judgement Rank 2
7/25	Daytime	Magician Rank 6
8/22	Daytime	Judgement Rank 3
8/22	Evening	Fool Rank 7
8/29	Evening	Magician Rank 7
8/31	Daytime	Hermit Rank 1
8/31	Evening	Fool Rank 8
9/17	Evening	Magician Rank 8
9/13	Daytime	Judgement Rank 4
10/11	Evening	Fool Rank 9
10/12	Daytime	Judgement Rank 5
10/24	Class	Hallway > Exam Results
10/28	Daytime	Judgement Rank 6
11/18	Class	Councillor Rank 10
11/20	Daytime	Judgement Rank 7
11/20	Daytime	Judgement Rank 8
11/20	Daytime	Judgement Rank 9
11/20	Daytime	Judgement Rank 10
12/23	Evening	Magician Rank 10
12/24	Daytime	Fool Rank 10
1/10	Evening	Magician Rank 11
2/02	Evening	Justice Rank 11
